,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
447,Neijiang,87.78,56.0,6.29,1799491.0,CN,105.0622,29.5835,46.0
448,Bonavista,36.77,89.0,22.91,5905393.0,CA,-53.1147,48.6499,100.0
449,Pauini,73.38,97.0,1.81,3662927.0,BR,-66.9764,-7.7136,93.0
450,Poso,81.16,86.0,2.17,1630723.0,ID,120.7524,-1.3959,61.0
451,Hervey Bay,62.98,57.0,9.26,2146219.0,AU,152.8535,-25.2986,13.0
452,Gambēla,81.12,66.0,1.79,337405.0,ET,34.5833,8.25,100.0
453,Hede,66.92,92.0,11.05,1808744.0,CN,120.2517,33.7681,100.0
454,Alice Springs,56.75,47.0,9.75,2077895.0,AU,133.8833,-23.7,6.0
455,Tazmalt,69.87,60.0,4.29,2477537.0,DZ,4.3989,36.3868,27.0
456,Mangaratiba,67.06,95.0,10.76,3457991.0,BR,-44.0406,-22.9597,100.0
457,Porto-Novo,80.42,80.0,8.66,2392087.0,BJ,2.6036,6.4965,100.0
458,Sabha,88.18,16.0,16.22,2212775.0,LY,14.4283,27.0377,76.0
459,Salinópolis,78.44,84.0,8.88,3389822.0,BR,-47.3561,-0.6136,87.0
460,Riyadh,95.14,20.0,9.98,108410.0,SA,46.7219,24.6877,61.0
461,Jönköping,60.51,67.0,6.91,2702979.0,SE,14.1562,57.7814,0.0
462,Yatou,71.04,68.0,7.92,1786855.0,CN,122.3833,37.15,32.0
463,Jaru,69.55,98.0,3.38,3925040.0,BR,-62.4664,-10.4389,90.0
464,Yashan,88.02,70.0,1.63,1786867.0,CN,109.9419,22.1975,85.0
465,Bamiantong,63.05,49.0,6.26,2038482.0,CN,130.5333,44.9333,43.0
466,Boa Vista,76.98,94.0,4.61,3664980.0,BR,-60.6733,2.8197,20.0
